"gene.symbol","description","entrezgene"
"HSP90AA1","heat shock protein 90 alpha family class A member 1 [KO:K04079]","3320"
"HSP90AB1","heat shock protein 90 alpha family class B member 1 [KO:K04079]","3326"
"HSP90B1","heat shock protein 90 beta family member 1 [KO:K09487]","7184"
"NOS3","nitric oxide synthase 3 [KO:K13242] [EC:1.14.13.39]","4846"
"CAV1","caveolin 1 [KO:K06278]","857"
"CAV2","caveolin 2 [KO:K12958]","858"
"CAV3","caveolin 3 [KO:K12959]","859"
"CALML3","calmodulin like 3 [KO:K02183]","810"
"CALM2","calmodulin 2 [KO:K02183]","805"
"CALM3","calmodulin 3 [KO:K02183]","808"
"CALM1","calmodulin 1 [KO:K02183]","801"
"CALML6","calmodulin like 6 [KO:K02183]","163688"
"CALML5","calmodulin like 5 [KO:K02183]","51806"
"CALML4","calmodulin like 4 [KO:K02183]","91860"
"GPC1","glypican 1 [KO:K08107]","2817"
"SDC1","syndecan 1 [KO:K06257]","6382"
"SDC2","syndecan 2 [KO:K16336]","6383"
"SDC4","syndecan 4 [KO:K16338]","6385"
"TRPV4","transient receptor potential cation channel subfamily V member 4 [KO:K04973]","59341"
"KEAP1","kelch like ECH associated protein 1 [KO:K10456]","9817"
"NFE2L2","nuclear factor, erythroid 2 like 2 [KO:K05638]","4780"
"HMOX1","heme oxygenase 1 [KO:K00510] [EC:1.14.14.18]","3162"
"GSTA5","glutathione S-transferase alpha 5 [KO:K00799] [EC:2.5.1.18]","221357"
"GSTA2","glutathione S-transferase alpha 2 [KO:K00799] [EC:2.5.1.18]","2939"
"GSTA4","glutathione S-transferase alpha 4 [KO:K00799] [EC:2.5.1.18]","2941"
"GSTO2","glutathione S-transferase omega 2 [KO:K00799] [EC:2.5.1.18]","119391"
"GSTM4","glutathione S-transferase mu 4 [KO:K00799] [EC:2.5.1.18]","2948"
"GSTT2","glutathione S-transferase theta 2 (gene/pseudogene) [KO:K00799] [EC:2.5.1.18]","2953"
"GSTT1","glutathione S-transferase theta 1 [KO:K00799] [EC:2.5.1.18]","2952"
"GSTM3","glutathione S-transferase mu 3 [KO:K00799] [EC:2.5.1.18]","2947"
"MGST1","microsomal glutathione S-transferase 1 [KO:K00799] [EC:2.5.1.18]","4257"
"MGST3","microsomal glutathione S-transferase 3 [KO:K00799] [EC:2.5.1.18]","4259"
"GSTP1","glutathione S-transferase pi 1 [KO:K00799] [EC:2.5.1.18]","2950"
"GSTM1","glutathione S-transferase mu 1 [KO:K00799] [EC:2.5.1.18]","2944"
"GSTM5","glutathione S-transferase mu 5 [KO:K00799] [EC:2.5.1.18]","2949"
"MGST2","microsomal glutathione S-transferase 2 [KO:K00799] [EC:2.5.1.18]","4258"
"GSTA1","glutathione S-transferase alpha 1 [KO:K00799] [EC:2.5.1.18]","2938"
"GSTM2","glutathione S-transferase mu 2 [KO:K00799] [EC:2.5.1.18]","2946"
"GSTA3","glutathione S-transferase alpha 3 [KO:K00799] [EC:2.5.1.18]","2940"
"GSTO1","glutathione S-transferase omega 1 [KO:K00799] [EC:2.5.1.18]","9446"
"GSTT2B","glutathione S-transferase theta 2B (gene/pseudogene) [KO:K00799] [EC:2.5.1.18]","653689"
"NQO1","NAD(P)H quinone dehydrogenase 1 [KO:K00355] [EC:1.6.5.2]","1728"
"SQSTM1","sequestosome 1 [KO:K14381]","8878"
"TXN","thioredoxin [KO:K03671]","7295"
"TXN2","thioredoxin 2 [KO:K03671]","25828"
"NPPC","natriuretic peptide C [KO:K12336]","4880"
"ASS1","argininosuccinate synthase 1 [KO:K01940] [EC:6.3.4.5]","445"
"THBD","thrombomodulin [KO:K03907]","7056"
"PLAT","plasminogen activator, tissue type [KO:K01343] [EC:3.4.21.68]","5327"
"CDH5","cadherin 5 [KO:K06533]","1003"
"KDR","kinase insert domain receptor [KO:K05098] [EC:2.7.10.1]","3791"
"CTNNB1","catenin beta 1 [KO:K02105]","1499"
"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1 [KO:K07198] [EC:2.7.11.11]","5562"
"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2 [KO:K07198] [EC:2.7.11.11]","5563"
"PECAM1","platelet and endothelial cell adhesion molecule 1 [KO:K06471]","5175"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]","5290"
"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]","5293"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]","5291"
