"gene.symbol","description","entrezgene"
"Hsp90aa1","heat shock protein 90, alpha (cytosolic), class A member 1 [KO:K04079]","15519"
"Hsp90ab1","heat shock protein 90 alpha (cytosolic), class B member 1 [KO:K04079]","15516"
"Hsp90b1","heat shock protein 90, beta (Grp94), member 1 [KO:K09487]","22027"
"Nos3","nitric oxide synthase 3, endothelial cell [KO:K13242] [EC:1.14.13.39]","18127"
"Cav1","caveolin 1, caveolae protein [KO:K06278]","12389"
"Cav2","caveolin 2 [KO:K12958]","12390"
"Cav3","caveolin 3 [KO:K12959]","12391"
"Calm1","calmodulin 1 [KO:K02183]","12313"
"Calm4","calmodulin 4 [KO:K02183]","80796"
"Calm3","calmodulin 3 [KO:K02183]","12315"
"Calm2","calmodulin 2 [KO:K02183]","12314"
"Calml3","calmodulin-like 3 [KO:K02183]","70405"
"Calm5","calmodulin 5 [KO:K02183]","494124"
"Calml4","calmodulin-like 4 [KO:K02183]","75600"
"Gpc1","glypican 1 [KO:K08107]","14733"
"Sdc1","syndecan 1 [KO:K06257]","20969"
"Sdc2","syndecan 2 [KO:K16336]","15529"
"Sdc4","syndecan 4 [KO:K16338]","20971"
"Trpv4","transient receptor potential cation channel, subfamily V, member 4 [KO:K04973]","63873"
"Keap1","kelch-like ECH-associated protein 1 [KO:K10456]","50868"
"Nfe2l2","nuclear factor, erythroid derived 2, like 2 [KO:K05638]","18024"
"Hmox1","heme oxygenase 1 [KO:K00510] [EC:1.14.14.18]","15368"
"Gsta2","glutathione S-transferase, alpha 2 (Yc2) [KO:K00799] [EC:2.5.1.18]","14858"
"Gsta3","glutathione S-transferase, alpha 3 [KO:K00799] [EC:2.5.1.18]","14859"
"Gsta4","glutathione S-transferase, alpha 4 [KO:K00799] [EC:2.5.1.18]","14860"
"Gstm1","glutathione S-transferase, mu 1 [KO:K00799] [EC:2.5.1.18]","14862"
"Gstm2","glutathione S-transferase, mu 2 [KO:K00799] [EC:2.5.1.18]","14863"
"Gstm5","glutathione S-transferase, mu 5 [KO:K00799] [EC:2.5.1.18]","14866"
"Gstm6","glutathione S-transferase, mu 6 [KO:K00799] [EC:2.5.1.18]","14867"
