"gene.symbol","description","entrezgene"
"TRAF2","TNF receptor-associated factor 2 isoform X1 [KO:K03173] [EC:2.3.2.27]","417287"
"TRAF5","TNF receptor-associated factor 5 [KO:K09849]","374055"
"IKBKB","inhibitor of nuclear factor kappa-B kinase subunit beta [KO:K07209] [EC:2.7.11.10]","426792"
"CHUK","inhibitor of nuclear factor kappa-B kinase subunit alpha [KO:K04467] [EC:2.7.11.10]","423669"
"NFKBIA","NF-kappa-B inhibitor alpha [KO:K04734]","396093"
"NFKB1","nuclear factor NF-kappa-B p105 subunit [KO:K02580]","396033"
"RELA","transcription factor p65 [KO:K04735]","396027"
"BIRC2","inhibitor of apoptosis protein [KO:K16060]","374012"
"NECTIN1","nectin-1 isoform X1 [KO:K06081]","100857875"
"PTPN11","tyrosine-protein phosphatase non-receptor type 11 [KO:K07293] [EC:3.1.3.48]","395815"
NA,"protein tyrosine phosphatase, non-receptor type 11-like [KO:K07293] [EC:3.1.3.48]","419429"
"ITGB3","integrin beta-3 precursor [KO:K06493]","374209"
"SRC","proto-oncogene tyrosine-protein kinase Src [KO:K05704] [EC:2.7.10.2]","396442"
"SYK","tyrosine-protein kinase SYK [KO:K05855] [EC:2.7.10.2]","427272"
"CARD9","caspase recruitment domain-containing protein 9 isoform X2 [KO:K12794]","427756"
"IFNW1","interferon type B precursor [KO:K05415]","554219"
"C3","complement C3 precursor [KO:K03990]","396370"
"C5","complement C5 isoform X2 [KO:K03994]","417122"
"CFP","properdin [KO:K15412]","112533495"
"TLR2A","toll-like receptor 2 type-1 precursor [KO:K10159]","374141"
"TLR2B","toll-like receptor 2 type-2 precursor [KO:K10159]","769014"
"MYD88","myeloid differentiation primary response protein MyD88 [KO:K04729]","420420"
"IRF7","interferon regulatory factor 3 [KO:K09447]","396330"
"TLR3","toll-like receptor 3 precursor [KO:K05401]","422720"
"TICAM1","TIR domain-containing adapter molecule 1 [KO:K05842]","100008585"
"IRAK4","interleukin-1 receptor-associated kinase 4 [KO:K04733] [EC:2.7.11.1]","417796"
"TRAF6","TNF receptor-associated factor 6 [KO:K03175] [EC:2.3.2.27]","423163"
"MAP3K7","mitogen-activated protein kinase kinase kinase 7 isoform X1 [KO:K04427] [EC:2.7.11.25]","421808"
"TAB1","TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 [KO:K04403]","418014"
"TAB2","TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform X2 [KO:K04404]","421622"
"IL1B","interleukin-1 beta [KO:K04519]","395196"
"CCL5","C-C motif chemokine 5 precursor [KO:K12499]","417465"
"IL6","interleukin-6 precursor [KO:K05405]","395337"
"IL12A","interleukin-12 subunit alpha precursor [KO:K05406]","407090"
"IL12B","interleukin-12 subunit beta precursor [KO:K05425]","404671"
"IFIH1","interferon-induced helicase C domain-containing protein 1 [KO:K12647] [EC:3.6.4.13]","424185"
"MAVS","mitochondrial antiviral-signaling protein [KO:K12648]","422936"
"TRAF3","TNF receptor-associated factor 3 isoform X1 [KO:K03174]","423471"
"IKBKE","inhibitor of nuclear factor kappa-B kinase subunit epsilon isoform X4 [KO:K07211] [EC:2.7.11.10]","430480"
"TBK1","serine/threonine-protein kinase TBK1 [KO:K05410] [EC:2.7.11.10]","417825"
"IFA3L","interferon type A3 [KO:K05414]","768614"
"IFNA3","interferon type A1/A2 precursor [KO:K05414]","396398"
"IFNAL6","interferon type A1/A2 [KO:K05414]","100859032"
NA,"interferon type A1/A2 [KO:K05414]","100858177"
"IFNAL5","interferon type A1/A2 [KO:K05414]","100857947"
"IFNAL4","interferon type A1/A2 [KO:K05414]","100857744"
"IFNKL1","interferon kappa isoform X2 [KO:K05414]","101750245"
"MB21D1","cyclic GMP-AMP synthase [KO:K17834] [EC:2.7.7.86]","421864"
"TMEM173","stimulator of interferon genes protein [KO:K12654]","768990"
"PPP1CB","serine/threonine-protein phosphatase PP1-beta catalytic subunit [KO:K06269] [EC:3.1.3.16]","396019"
"PPP1CC","serine/threonine-protein phosphatase PP1-gamma catalytic subunit [KO:K06269] [EC:3.1.3.16]","416872"
"PPP1CA","serine/threonine-protein phosphatase PP1-alpha catalytic subunit [KO:K06269] [EC:3.1.3.16]","100858156"
"EIF2AK1","eukaryotic translation initiation factor 2-alpha kinase 1 [KO:K16194] [EC:2.7.11.1]","395360"
"EIF2AK2","interferon-induced, double-stranded RNA-activated protein kinase [KO:K16195] [EC:2.7.11.1]","395147"
